location_id,latitude,longitude,area_size,current_use,zoning_code,population_density,building_density,property_value
1,40.712776,-74.005974,27251.713545284183,residential,R2,69.84509795463995,0.23059520074928527,1483.4722747590622
2,40.712776,-73.99597399999999,23155.50337754852,residential,R2,93.43618872953603,0.4516374378380915,2521.928563782138
3,40.712776,-73.985974,29633.422270306844,industrial,I2,6.747742431406062,0.5607770770891026,1877.2782625639777
4,40.712776,-73.975974,32963.00286888218,recreational,P1,2.2234953054962316,0.05586659610433803,1146.1902107064243
5,40.712776,-73.96597399999999,12643.774304846102,recreational,P1,5.08457655259322,0.06102880915538331,692.336601696053
6,40.722775999999996,-74.005974,21208.48121296517,recreational,P1,2.26831505296855,0.05960494131945408,1221.8077429121536
7,40.722775999999996,-73.99597399999999,8719.270071309935,residential,R2,121.10799786669222,0.48834312482295783,3658.208206808579
8,40.722775999999996,-73.985974,31393.339818817833,mixed_use,M1,96.93014667733858,0.7569838702597043,4532.265664174866
9,40.722775999999996,-73.975974,38930.12862879949,commercial,C1,33.88439822189576,0.6897195202555266,5134.816739319508
10,40.722775999999996,-73.96597399999999,25521.697746138387,recreational,P1,3.302448758138601,0.09598227195105377,1276.1719450865066
11,40.732776,-74.005974,35150.97046989914,recreational,P1,4.465570327711979,0.09343650623587207,1374.3228492778942
12,40.732776,-73.99597399999999,14562.910874395333,commercial,C2,48.729493023260474,0.7215229712870139,5517.5666034776
13,40.732776,-73.985974,11212.605390372537,commercial,C1,45.55946520085064,0.95,7583.528879971835
14,40.732776,-73.975974,20458.16795260764,mixed_use,M1,131.1224438078861,0.7439178784411158,4849.549912889732
15,40.732776,-73.96597399999999,7884.53505340009,residential,R2,96.6959064661117,0.5258383990593419,2607.7261979125424
16,40.742776,-74.005974,35909.40401295941,residential,R1,100.73423514410953,0.4355970320019903,2509.6156148794357
17,40.742776,-73.99597399999999,10618.346378565955,mixed_use,M1,109.1577012475689,0.5792988116305191,3910.1348993547645
18,40.742776,-73.985974,29151.026056914812,commercial,C1,39.05961564969591,0.780664065791141,5986.437003005336
19,40.742776,-73.975974,13312.080000232385,mixed_use,M1,95.44011165480839,0.6310666276184934,4412.622866002093
20,40.742776,-73.96597399999999,23348.58468645379,recreational,P1,4.060047854420528,0.049704329319884784,1124.0386550071662
21,40.752776,-74.005974,23638.69183683771,industrial,I1,7.933065926167542,0.3979471669689863,790.344395644144
22,40.752776,-73.99597399999999,37607.148474869005,industrial,I1,12.633704997413547,0.40182734479256826,1461.454722427036
23,40.752776,-73.985974,30945.68758621857,industrial,I1,12.103382802878468,0.36223713088262327,1875.767062405749
24,40.752776,-73.975974,16517.637408778755,industrial,I2,13.488763330367327,0.42623708406154676,1676.1027605850504
25,40.752776,-73.96597399999999,43899.85914823187,residential,R2,52.89649440650847,0.28111591333868136,1428.8203792928891
